order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
3079959,3497,prior,16,6,13,18.0
86369,3497,prior,17,4,8,12.0
3058358,3497,prior,18,1,9,18.0
2401581,3497,prior,19,2,14,22.0
2134323,3497,prior,20,3,10,8.0
176100,3497,prior,21,1,16,5.0
2504452,3497,prior,22,6,8,5.0
976278,3497,prior,23,0,10,22.0
3282138,3497,prior,24,3,8,3.0
2292257,3497,prior,25,3,6,7.0
2582823,3497,prior,26,0,11,11.0
3296980,3497,prior,27,6,14,13.0
510111,3497,prior,28,6,8,21.0
3115664,3497,prior,29,4,7,12.0
1323514,3497,prior,30,6,11,9.0
2520234,3497,test,31,0,6,15.0
659443,3956,prior,1,3,10,
2615726,3956,prior,2,1,14,12.0
3068375,3956,prior,3,2,12,8.0
1455944,3956,prior,4,2,14,28.0
2653704,3956,prior,5,1,15,30.0
2641715,3956,prior,6,1,12,21.0
2519426,3956,prior,7,3,14,9.0
197011,3956,prior,8,4,16,15.0
2264331,3956,test,9,1,13,4.0
1239521,4345,prior,1,2,19,
2806519,4345,prior,2,3,21,8.0
580279,4345,prior,3,2,13,13.0
930898,4345,prior,4,3,12,8.0
1529883,4345,prior,5,5,19,2.0
3086666,4345,prior,6,4,19,13.0
408321,4345,prior,7,6,19,2.0
2951019,4345,prior,8,4,18,5.0
462494,4345,prior,9,4,18,7.0
2289861,4345,prior,10,0,20,3.0
787900,4345,prior,11,4,18,4.0
2802352,4345,prior,12,6,19,2.0
2555431,4345,prior,13,0,19,1.0
1742578,4345,prior,14,5,20,5.0
442380,4345,prior,15,1,20,3.0
1067545,4345,prior,16,6,16,5.0
2974181,4345,prior,17,1,20,2.0
1604376,4345,prior,18,1,17,7.0
1063552,4345,prior,19,4,18,3.0
1181121,4345,prior,20,6,16,2.0
3275777,4345,prior,21,3,18,4.0
628321,4345,prior,22,0,14,4.0
1996384,4345,prior,23,2,17,2.0
960104,4345,prior,24,4,16,2.0
1410930,4345,prior,25,6,21,2.0
138922,4345,prior,26,3,15,4.0
884187,4345,prior,27,3,17,7.0
1020798,4345,prior,28,6,18,3.0
3222029,4345,prior,29,0,20,1.0
696128,4345,prior,30,4,8,4.0
1226978,4345,prior,31,0,17,3.0
1366861,4345,prior,32,2,16,2.0
3354759,4345,prior,33,4,14,23.0
1585390,4345,prior,34,6,15,2.0
1551887,4345,prior,35,3,16,4.0
1288921,4345,prior,36,5,16,2.0
2267376,4345,prior,37,0,16,2.0
1453418,4345,prior,38,0,15,7.0
3293906,4345,prior,39,6,19,6.0
739200,4345,prior,40,6,18,7.0
422645,4345,prior,41,4,18,5.0
2851950,4345,prior,42,6,19,2.0
2388338,4345,prior,43,4,17,5.0
3360944,4345,prior,44,1,20,4.0
1306584,4345,prior,45,3,17,2.0
825680,4345,prior,46,3,11,21.0
580415,4345,prior,47,5,16,2.0
1837608,4345,prior,48,0,17,2.0
1671141,4345,prior,49,6,14,6.0
199413,4345,prior,50,2,19,3.0
2280725,4345,prior,51,3,14,15.0
2951044,4345,prior,52,0,12,4.0
509536,4345,prior,53,2,11,2.0
313028,4345,prior,54,1,16,6.0
845247,4345,prior,55,3,10,2.0
333739,4345,prior,56,5,10,2.0
1150037,4345,prior,57,0,10,2.0
231303,4345,prior,58,3,16,3.0
2222324,4345,prior,59,5,8,2.0
370088,4345,prior,60,6,16,1.0
436374,4345,prior,61,1,16,2.0
1726082,4345,prior,62,3,15,2.0
1332768,4345,prior,63,4,17,1.0
3160010,4345,prior,64,6,12,2.0
2760079,4345,prior,65,1,13,2.0
2154124,4345,prior,66,0,10,6.0
851593,4345,prior,67,3,14,3.0
743077,4345,prior,68,6,12,3.0
657416,4345,prior,69,1,14,2.0
899986,4345,prior,70,0,19,6.0
1305438,4345,prior,71,2,12,2.0
715064,4345,prior,72,4,16,2.0
3207812,4345,prior,73,0,14,3.0
1994527,4345,prior,74,3,14,3.0
2903081,4345,prior,75,5,16,2.0
1906109,4345,prior,76,1,15,3.0
2082589,4345,prior,77,3,18,2.0
706879,4345,prior,78,6,12,3.0
2244469,4345,prior,79,1,16,2.0
1991588,4345,prior,80,4,16,3.0
1402184,4345,prior,81,1,10,18.0
2706527,4345,prior,82,2,15,8.0
200604,4345,test,83,3,17,8.0
180795,4575,prior,1,6,18,
1199954,4575,prior,2,3,7,30.0
289831,4575,prior,3,4,8,8.0
3305609,4575,prior,4,5,11,8.0
1570350,4575,prior,5,4,10,27.0
1099948,4575,prior,6,4,7,7.0
186907,4575,prior,7,4,6,14.0
3230858,4575,test,8,2,21,30.0
1926398,4659,prior,1,1,17,
2375231,4659,prior,2,0,15,6.0
2639129,4659,prior,3,5,7,5.0
406965,4659,prior,4,0,13,2.0
2138490,4659,prior,5,2,11,2.0
1013536,4659,prior,6,5,16,3.0
1166767,4659,prior,7,2,8,4.0
726941,4659,prior,8,4,8,9.0
3301375,4659,prior,9,1,8,4.0
2941735,4659,prior,10,6,9,5.0
464937,4659,prior,11,5,13,13.0
859807,4659,prior,12,5,15,0.0
1293009,4659,prior,13,0,13,2.0
971899,4659,prior,14,6,8,6.0
3345778,4659,prior,15,5,8,6.0
1218751,4659,prior,16,6,11,1.0
2419651,4659,prior,17,6,15,0.0
2361051,4659,prior,18,4,8,5.0
3002028,4659,prior,19,6,17,2.0
2660894,4659,prior,20,2,16,3.0
1279184,4659,prior,21,6,6,4.0
2682122,4659,prior,22,0,11,8.0
1661228,4659,prior,23,5,15,5.0
2870859,4659,prior,24,0,23,2.0
1794092,4659,prior,25,3,23,3.0
1943306,4659,prior,26,2,10,6.0
1967249,4659,prior,27,2,16,7.0
3032725,4659,prior,28,0,14,5.0
45695,4659,prior,29,3,22,3.0
241679,4659,prior,30,1,21,5.0
1840589,4659,prior,31,6,7,5.0
1475085,4659,prior,32,3,9,4.0
240493,4659,prior,33,0,10,4.0
2968976,4659,prior,34,4,11,4.0
199430,4659,prior,35,1,9,4.0
2835899,4659,prior,36,3,6,9.0
2220879,4659,prior,37,6,16,10.0
899132,4659,prior,38,1,16,9.0
1009154,4659,prior,39,1,16,14.0
1754250,4659,prior,40,3,16,9.0
2086761,4659,prior,41,0,8,11.0
1261048,4659,prior,42,4,16,4.0
665128,4659,prior,43,1,7,4.0
2197910,4659,prior,44,1,17,7.0
2638253,4659,prior,45,4,18,3.0
2254812,4659,prior,46,6,13,9.0
3243492,4659,prior,47,4,14,5.0
3147620,4659,prior,48,0,9,3.0
410923,4659,prior,49,3,18,3.0
1226365,4659,prior,50,1,14,12.0
1039096,4659,prior,51,6,11,5.0
1302089,4659,prior,52,6,12,21.0
461033,4659,prior,53,4,8,5.0
2507741,4659,prior,54,6,16,9.0
322728,4659,prior,55,3,17,4.0
134274,4659,prior,56,4,10,1.0
2628859,4659,prior,57,0,10,10.0
2268090,4659,prior,58,5,15,12.0
613071,4659,train,59,0,12,2.0
670271,4875,prior,1,5,16,
2180014,4875,prior,2,4,11,30.0
2170392,4875,prior,3,0,12,17.0
1055163,4875,prior,4,3,16,3.0
2612926,4875,prior,5,4,9,15.0
236000,4875,prior,6,1,13,11.0
258920,4875,prior,7,2,14,15.0
2337798,4875,prior,8,5,3,10.0
1148420,4875,prior,9,6,4,15.0
985311,4875,prior,10,5,7,6.0
1131793,4875,prior,11,4,18,6.0
2724083,4875,prior,12,4,19,7.0
3131486,4875,prior,13,5,8,8.0
1434688,4875,prior,14,4,9,6.0
2690848,4875,prior,15,4,17,7.0
2383705,4875,prior,16,6,11,2.0
910615,4875,prior,17,6,7,7.0
3414322,4875,prior,18,4,16,5.0
877443,4875,prior,19,5,19,15.0
240491,4875,prior,20,3,8,12.0
1134762,4875,prior,21,5,13,2.0
2258462,4875,prior,22,2,9,4.0
1423528,4875,prior,23,0,18,5.0
1730371,4875,prior,24,2,11,9.0
224173,4875,prior,25,1,19,20.0
2459078,4875,test,26,3,15,9.0
873738,4970,prior,1,3,17,
2372534,4970,prior,2,0,16,30.0
487471,4970,prior,3,4,16,30.0
720376,4970,prior,4,0,15,10.0
1019464,4970,prior,5,2,9,2.0
2544099,4970,train,6,6,11,30.0
1911269,5124,prior,1,3,15,
2226509,5124,prior,2,5,12,9.0
814577,5124,prior,3,4,12,6.0
3247513,5124,prior,4,1,12,11.0
1028312,5124,prior,5,3,9,30.0
623156,5124,prior,6,5,15,2.0
892395,5124,prior,7,2,15,18.0
1537393,5124,prior,8,0,16,30.0
1288079,5124,prior,9,3,16,3.0
2168241,5124,train,10,5,13,30.0
2461248,5250,prior,1,3,16,
1165639,5250,prior,2,4,14,30.0
1234582,5250,prior,3,4,13,7.0
2308131,5250,prior,4,4,17,7.0
503066,5250,prior,5,4,15,14.0
2518739,5250,prior,6,2,13,30.0
2129049,5250,prior,7,0,16,19.0
2294293,5250,prior,8,5,17,30.0
894339,5250,prior,9,3,13,5.0
1258559,5250,prior,10,3,15,30.0
2877686,5250,prior,11,2,15,13.0
1280147,5250,prior,12,6,11,11.0
1156603,5250,prior,13,1,18,16.0
971922,5250,prior,14,3,11,9.0
311568,5250,test,15,4,19,1.0
425432,5306,prior,1,2,19,
2744499,5306,prior,2,2,19,0.0
2317920,5306,prior,3,5,19,30.0
2949686,5306,prior,4,5,18,30.0
1530493,5306,prior,5,0,17,2.0
2439483,5306,prior,6,0,16,14.0
2616035,5306,train,7,1,14,30.0
1387751,5921,prior,1,4,9,
1633153,5921,prior,2,0,17,3.0
310681,5921,prior,3,5,8,12.0
3050123,5921,prior,4,3,20,5.0
1210935,5921,prior,5,2,7,6.0
1812433,5921,prior,6,1,15,6.0
2706070,5921,prior,7,0,9,20.0
2264813,5921,prior,8,1,20,8.0
2510085,5921,prior,9,1,8,7.0
1845959,5921,prior,10,0,21,6.0
906036,5921,prior,11,0,12,7.0
1322064,5921,prior,12,0,15,14.0
2508566,5921,prior,13,0,15,7.0
507876,5921,prior,14,6,10,13.0
2730083,5921,prior,15,0,20,8.0
2025836,5921,prior,16,0,9,7.0
719966,5921,prior,17,0,8,7.0
2938555,5921,prior,18,1,8,8.0
360277,5921,prior,19,5,7,4.0
787397,5921,prior,20,0,10,2.0
1615259,5921,prior,21,0,10,7.0
1547935,5921,prior,22,0,11,7.0
2607960,5921,prior,23,0,13,7.0
735593,5921,prior,24,3,16,3.0
1152281,5921,prior,25,6,9,10.0
201889,5921,prior,26,2,6,3.0
3005632,5921,prior,27,1,10,6.0
1695844,5921,prior,28,5,7,4.0
2221510,5921,prior,29,1,8,3.0
322822,5921,prior,30,5,11,4.0
2889377,5921,prior,31,1,19,3.0
1974370,5921,prior,32,0,12,6.0
1045725,5921,prior,33,0,10,14.0
1361835,5921,prior,34,5,8,5.0
1163190,5921,prior,35,0,15,2.0
928321,5921,prior,36,4,18,4.0
3077112,5921,prior,37,0,16,3.0
2545661,5921,prior,38,4,20,4.0
2984016,5921,prior,39,0,10,3.0
1220986,5921,prior,40,1,8,8.0
1703364,5921,prior,41,4,11,3.0
2492284,5921,prior,42,0,10,3.0
871794,5921,prior,43,5,7,5.0
115942,5921,prior,44,6,16,1.0
709585,5921,prior,45,5,8,6.0
1348698,5921,prior,46,0,19,2.0
2819963,5921,prior,47,5,8,5.0
917362,5921,prior,48,1,10,3.0
1040662,5921,prior,49,4,8,3.0
3411220,5921,prior,50,0,16,3.0
1498165,5921,prior,51,5,7,5.0
2156466,5921,prior,52,0,13,2.0
2171297,5921,prior,53,0,14,7.0
3031485,5921,prior,54,4,8,4.0
879525,5921,prior,55,0,17,3.0
1323816,5921,prior,56,2,10,2.0
3108130,5921,prior,57,3,9,1.0
1901341,5921,prior,58,6,13,3.0
2870872,5921,prior,59,6,19,14.0
2590905,5921,prior,60,4,19,5.0
2564210,5921,prior,61,0,11,3.0
2651553,5921,prior,62,5,21,5.0
2560302,5921,train,63,0,10,2.0
1990586,6729,prior,1,4,10,
1064450,6729,prior,2,2,21,12.0
730360,6729,prior,3,6,17,18.0
875758,6729,prior,4,2,10,10.0
1806048,6729,prior,5,4,19,30.0
899172,6729,prior,6,2,1,12.0
816768,6729,prior,7,5,16,30.0
2450060,6729,test,8,6,12,15.0
3225901,6791,prior,1,1,16,
2961606,6791,prior,2,3,22,30.0
2018452,6791,prior,3,3,22,7.0
1862753,6791,prior,4,2,23,6.0
172764,6791,test,5,1,16,20.0
2954748,6908,prior,1,4,16,
2095001,6908,prior,2,2,17,5.0
1588399,6908,prior,3,1,21,20.0
3042589,6908,prior,4,4,16,10.0
317647,6908,prior,5,1,16,11.0
1584264,6908,train,6,6,12,12.0
2659749,7258,prior,1,0,20,
2862930,7258,prior,2,6,14,6.0
95918,7258,prior,3,2,21,10.0
1335934,7258,prior,4,6,21,11.0
2456095,7258,prior,5,4,20,12.0
2953853,7258,prior,6,6,19,2.0
347663,7258,prior,7,6,12,28.0
3147365,7258,prior,8,0,13,30.0
1865,7258,train,9,5,12,30.0
650608,7421,prior,1,2,12,
58956,7421,prior,2,4,12,16.0
1134813,7421,prior,3,4,17,28.0
918599,7421,prior,4,5,18,30.0
1491892,7421,prior,5,0,21,9.0
1472645,7421,prior,6,0,20,14.0
2223375,7421,prior,7,3,9,10.0
2609225,7421,prior,8,1,11,12.0
2348462,7421,prior,9,0,12,6.0
597581,7421,prior,10,2,0,9.0
2636715,7421,prior,11,0,22,12.0
202824,7421,train,12,0,18,7.0
37164,7640,prior,1,1,10,
1913742,7640,prior,2,0,21,30.0
448721,7640,prior,3,4,13,30.0
700352,7640,prior,4,3,10,30.0
580268,7640,prior,5,6,15,30.0
3127479,7640,test,6,3,6,18.0
2703294,7739,prior,1,2,20,
969394,7739,prior,2,3,12,8.0
1000995,7739,prior,3,6,15,10.0
2489438,7739,prior,4,4,22,5.0
2669219,7739,prior,5,3,15,13.0
642447,7739,prior,6,0,15,4.0
3142225,7739,prior,7,3,13,3.0
1428094,7739,prior,8,4,14,8.0
3208191,7739,prior,9,3,14,6.0
107292,7739,prior,10,5,11,9.0
89865,7739,prior,11,6,9,22.0
769279,7739,prior,12,3,20,4.0
2283562,7739,prior,13,1,13,5.0
2626347,7739,prior,14,5,13,4.0
3401724,7739,prior,15,1,20,3.0
1592466,7739,prior,16,3,14,2.0
1055570,7739,prior,17,5,10,2.0
1973285,7739,prior,18,4,17,13.0
50643,7739,prior,19,2,14,5.0
1735053,7739,prior,20,6,10,4.0
646616,7739,prior,21,3,9,4.0
2475453,7739,prior,22,5,20,9.0
933807,7739,prior,23,2,21,4.0
2081442,7739,prior,24,2,7,14.0
3275068,7739,prior,25,6,9,4.0
772406,7739,prior,26,0,8,8.0
3141445,7739,prior,27,4,17,4.0
1484714,7739,prior,28,1,13,4.0
2329298,7739,prior,29,6,12,5.0
101797,7739,prior,30,0,17,1.0
936932,7739,prior,31,6,10,6.0
2453995,7739,prior,32,6,10,0.0
2779735,7739,prior,33,6,13,7.0
2283307,7739,prior,34,6,9,7.0
3361789,7739,prior,35,6,13,7.0
1821728,7739,prior,36,0,17,1.0
2410339,7739,prior,37,5,14,12.0
1432338,7739,prior,38,4,9,6.0
755720,7739,prior,39,3,15,13.0
468447,7739,prior,40,1,16,5.0
1375794,7739,prior,41,6,12,5.0
1257703,7739,prior,42,6,15,7.0
2488986,7739,prior,43,1,22,9.0
3419807,7739,prior,44,5,10,11.0
288178,7739,prior,45,4,9,6.0
3412130,7739,prior,46,3,11,6.0
2042428,7739,prior,47,0,8,4.0
1237285,7739,prior,48,2,19,9.0
3101815,7739,prior,49,4,17,16.0
640574,7739,prior,50,1,8,11.0
1690041,7739,test,51,5,15,4.0
2625665,9490,prior,1,0,11,
1094808,9490,prior,2,0,16,30.0
2717399,9490,prior,3,6,15,6.0
1338469,9490,prior,4,6,8,7.0
